strike,moneyness,T,type,market_price,market_iv,computed_iv,bs_price_market,bs_price_computed
650.0,1.029553879957933,0.4876712328767123,call,49.32,0.212349185180664,0.1697431288454092,56.55227806107126,49.320000000588834
585.0,1.143948755508814,0.2082191780821917,call,92.85,0.3265753378295898,0.2540183747706109,97.41678871463927,92.8500004103305
615.0,1.088146377191311,0.0931506849315068,call,60.21,0.26758544921875,0.2671717579776771,60.227970398388265,60.210000004581275
720.0,0.9294583638509114,0.4575342465753425,call,9.4,0.1471795487976074,0.1273184653723822,12.490097943609015,9.400000000000006
595.0,1.1247227260044643,0.284931506849315,call,88.93,0.293830303955078,0.2565087495488902,92.30859818129568,88.93000001135078
677.0,0.9884933854839828,0.0164383561643835,put,8.56,0.0838714660644531,0.1108242534056284,7.93066418782314,8.56000000000472
657.0,1.018584508329766,0.0136986301369863,put,0.93,0.1280604772949218,0.1556372526358142,0.4869538459327032,0.9300000003610478
624.0,1.0724519582895131,0.0547945205479452,put,1.12,0.2033771069335937,0.2156452571500417,0.8694610300187904,1.1200000014693217
725.0,0.923048306169181,0.284931506849315,call,2.92,0.1285182363891601,0.1163864828909536,3.9488684604845616,2.920000125044311
602.0,1.1116445547718543,0.2410958904109589,put,5.25,0.2089007333374022,0.223958232346704,4.219600213645904,5.250000000000242
720.0,0.9294583638509114,0.4575342465753425,put,58.02,0.0962919961547851,0.1943757354225974,42.727846366512495,58.020000000177106
649.0,1.0311402495726598,0.0547945205479452,put,2.82,0.1536339520263672,0.1656454447829453,2.318612185351782,2.8200000000012153
605.0,1.106132267723399,0.2410958904109589,put,5.45,0.2056048678588867,0.220023942791889,4.42939237398997,5.45000000000023
638.0,1.0489185297377055,0.1506849315068493,put,5.61,0.1669547416687012,0.177897758003677,4.811301347664141,5.610000000000014
626.0,1.0690255942055211,0.0547945205479452,put,1.17,0.1991046887207031,0.2104892627405996,0.9257159597554931,1.170000001955522
630.0,1.0622381301153274,2.202739726027397,put,43.84,0.160603334236145,0.2233280279100363,23.968256839971133,43.84000000001939
730.0,0.9167260574967894,0.4,call,5.88,0.1373377282714844,0.1279774098141663,7.0239238595816005,5.880000000197867
639.0,1.0472770296911678,0.2410958904109589,put,9.7,0.1661612925720215,0.1847181683915185,7.785348732198031,9.700000057515894
655.0,1.0216946900345898,1.282191780821918,put,38.55,0.151802915649414,0.2030824828712846,24.639662052687925,38.55000000000052
710.0,0.942549326722051,2.2986301369863016,call,72.58,0.2246171289062499,0.1540013221565259,100.21970068913026,72.58000000000004
664.0,1.0078464186335183,0.1506849315068493,call,20.69,0.1673819834899902,0.1521948270612474,22.2138028014391,20.69000000000034
706.0,0.9478895495363404,0.073972602739726,call,0.34,0.1090176989746093,0.107402871018834,0.3674950630965128,0.3400002952261332
680.0,0.9841323852539062,0.4575342465753425,put,28.4,0.1245891374969482,0.1617655592310531,21.70402637281677,28.39999989662033
649.0,1.0311402495726598,0.0356164383561643,call,23.59,0.1796651858520507,0.1918758977920795,23.191948278209793,23.590000000000146
669.0,1.0003139341893217,0.2410958904109589,call,22.47,0.1644065493774414,0.1454668834837137,24.917534024721363,22.47000030854508
670.0,0.9988209283173974,0.284931506849315,call,24.38,0.1715247032928467,0.1467526292365303,27.863639643939223,24.38000010191564
667.0,1.003313376270849,0.0164383561643835,put,3.02,0.1016020016479492,0.1233088037438868,2.3062448775403084,3.0200000000016303
619.0,1.0811147366278775,0.0164383561643835,put,0.14,0.2544019873046875,0.2875921989209246,0.055172416218536746,0.14000000201350105
648.0,1.0327315153899017,0.073972602739726,put,4.0,0.1599815447998047,0.1715895143656883,3.38932970370999,4.000000987559417
673.0,0.9943685319058784,0.1506849315068493,put,14.73,0.1165249481201172,0.1434022522951358,11.946062451499529,14.729999996608967
685.0,0.9769489371863594,0.284931506849315,call,15.41,0.1544121424865723,0.1336517576377067,18.348298320529807,15.410000000000025
668.0,1.001811410138707,0.1315068493150684,put,11.73,0.1247035772705078,0.1447266230111585,9.819096999138708,11.730000367584978
695.0,0.962892117946268,0.1315068493150684,call,3.72,0.125985302734375,0.1176348740976461,4.345995266679722,3.7200000000065643
606.0,1.104306966951578,0.2410958904109589,put,5.29,0.2045062460327147,0.2156011157536544,4.502127437800539,5.290000000000575
685.0,0.9769489371863594,0.0356164383561643,put,15.81,0.09180595703125,0.107995708170677,15.39089219567063,15.810000038502608
725.0,0.923048306169181,0.9561643835616438,call,25.05,0.1738745333099365,0.1412527207999114,33.40338843808206,25.050000000009106
695.0,0.962892117946268,0.3808219178082191,call,16.34,0.1568535243225098,0.1391828597771563,19.192457392424842,16.340000000002988
630.0,1.0622381301153274,0.4575342465753425,put,14.7,0.1733023344421386,0.1972098906618614,11.300911429817546,14.700000017685966
659.0,1.0154932048143497,0.1315068493150684,call,25.46,0.1751181121826172,0.185766784449436,24.4896752489056,25.46000000000282
672.0,0.9958482469831196,0.0931506849315068,call,10.79,0.1447534255981445,0.1341774930851641,11.651702731410865,10.789999999461543
631.0,1.060554709940818,0.0356164383561643,put,0.77,0.1992267578125,0.2131019921778484,0.5652931373792214,0.7700000053745626
700.0,0.9560143171037948,0.4876712328767123,call,18.72,0.1610725373077392,0.1401904446100153,22.54334701541319,18.720000000001903
639.0,1.0472770296911678,0.073972602739726,put,3.05,0.1763388031005859,0.1892892449409407,2.4875276171547966,3.050000000002484
750.0,0.892280029296875,0.2082191780821917,call,0.41,0.1258632336425781,0.1207216003061055,0.5232242369445572,0.41000000001428916
