contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct
SPY251006C00669000,2025-10-03 20:14:59+00:00,669.0,1.51,1.51,1.53,-1.1200001,-42.585556,32998.0,3182,0.0509128112792968,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0003139341893217,0.020000000000000018,0.013245033112582794
SPY251006C00670000,2025-10-03 20:14:59+00:00,670.0,0.98,0.98,1.0,-1.04,-51.48515,94852.0,4442,0.0485934985351562,False,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9988209283173974,0.020000000000000018,0.02040816326530614
SPY251006C00671000,2025-10-03 20:14:56+00:00,671.0,0.61,0.6,0.61,-0.9,-59.60265,97030.0,3026,0.0470066003417968,False,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9973323725374906,0.010000000000000009,0.016393442622950834
SPY251006C00672000,2025-10-03 20:14:57+00:00,672.0,0.33,0.33,0.34,-0.74,-69.158875,102695.0,3168,0.0456638403320312,False,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9958482469831196,0.010000000000000009,0.030303030303030328
SPY251006C00673000,2025-10-03 20:14:59+00:00,673.0,0.18,0.17,0.18,-0.55,-75.34246,71351.0,2400,0.0451755639648437,False,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9943685319058784,0.009999999999999981,0.055555555555555455
SPY251006P00648000,2025-10-03 20:14:37+00:00,648.0,0.11,0.09,0.1,-0.09,-45.0,1531.0,764,0.1562584375,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0327315153899017,0.010000000000000009,0.090909090909091
SPY251006P00649000,2025-10-03 20:14:11+00:00,649.0,0.11,0.1,0.11,-0.099999994,-47.619045,4967.0,674,0.1523522265625,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0311402495726598,0.009999999999999995,0.09090909090909087
SPY251006P00650000,2025-10-03 20:14:53+00:00,650.0,0.12,0.11,0.12,-0.11000001,-47.82609,5947.0,3055,0.1482018774414062,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.029553879957933,0.009999999999999995,0.0833333333333333
SPY251006P00651000,2025-10-03 20:13:34+00:00,651.0,0.13,0.11,0.12,-0.120000005,-48.0,3467.0,624,0.141610146484375,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.027972383982575,0.009999999999999995,0.07692307692307689
SPY251006P00652000,2025-10-03 20:14:37+00:00,652.0,0.12,0.12,0.13,-0.13999999,-53.84615,11279.0,589,0.1372156591796875,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0263957392218654,0.010000000000000009,0.08333333333333341
SPY251006P00653000,2025-10-03 20:14:41+00:00,653.0,0.14,0.13,0.14,-0.14,-50.0,3862.0,1731,0.1323328955078125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0248239233884475,0.010000000000000009,0.07142857142857148
SPY251006P00654000,2025-10-03 20:13:34+00:00,654.0,0.15,0.14,0.15,-0.16,-51.612904,14308.0,28672,0.12696185546875,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0232569143312786,0.009999999999999981,0.06666666666666654
SPY251006P00655000,2025-10-03 20:14:30+00:00,655.0,0.16,0.16,0.17,-0.16,-50.0,19256.0,4171,0.12305564453125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0216946900345898,0.010000000000000009,0.06250000000000006
SPY251006P00656000,2025-10-03 20:13:33+00:00,656.0,0.17,0.17,0.18,-0.19000001,-52.777782,17404.0,1115,0.1174404663085937,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.020137228616854,0.009999999999999981,0.058823529411764594
SPY251006P00657000,2025-10-03 20:14:45+00:00,657.0,0.2,0.19,0.2,-0.2,-50.0,28118.0,2205,0.1128018408203125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.018584508329766,0.010000000000000009,0.050000000000000044
SPY251006P00658000,2025-10-03 20:14:47+00:00,658.0,0.22,0.21,0.23,-0.22,-50.0,16197.0,1820,0.1088956298828125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0170365075572283,0.020000000000000018,0.090909090909091
SPY251006P00659000,2025-10-03 20:14:46+00:00,659.0,0.24,0.24,0.25,-0.25,-51.02041,26803.0,2396,0.1032804516601562,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0154932048143497,0.010000000000000009,0.041666666666666706
SPY251006P00660000,2025-10-03 20:14:56+00:00,660.0,0.28,0.27,0.29,-0.26000002,-48.14815,33553.0,6092,0.0990080334472656,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0139545787464488,0.019999999999999962,0.07142857142857129
SPY251006P00661000,2025-10-03 20:14:58+00:00,661.0,0.32,0.31,0.32,-0.29000002,-47.540985,20587.0,2215,0.0933928552246093,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0124206081280729,0.010000000000000009,0.03125000000000003
SPY251006P00662000,2025-10-03 20:14:57+00:00,662.0,0.36,0.36,0.37,-0.32,-47.058823,17205.0,1381,0.0886321606445312,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0108912718620184,0.010000000000000009,0.027777777777777804
SPY251006P00663000,2025-10-03 20:14:55+00:00,663.0,0.42,0.41,0.43,-0.35999998,-46.153847,34475.0,1991,0.0837493969726562,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0093665489783654,0.020000000000000018,0.047619047619047665
SPY251006P00664000,2025-10-03 20:14:55+00:00,664.0,0.5,0.49,0.51,-0.39999998,-44.444443,38762.0,2827,0.0789887023925781,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0078464186335183,0.020000000000000018,0.040000000000000036
SPY251006P00665000,2025-10-03 20:14:57+00:00,665.0,0.6,0.59,0.6,-0.44999993,-42.857136,46183.0,4890,0.0737397314453125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0063308601092575,0.010000000000000009,0.016666666666666684
SPY251006P00666000,2025-10-03 20:14:58+00:00,666.0,0.74,0.72,0.74,-0.48000002,-39.34426,42062.0,4559,0.0694673132324218,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0048198528117962,0.020000000000000018,0.027027027027027053
SPY251006P00667000,2025-10-03 20:14:58+00:00,667.0,0.92,0.91,0.93,-0.54,-36.9863,46708.0,4452,0.065439033203125,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.003313376270849,0.020000000000000018,0.021739130434782625
SPY251006P00668000,2025-10-03 20:14:58+00:00,668.0,1.17,1.16,1.18,-0.57000005,-32.75862,83351.0,3833,0.061532822265625,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.001811410138707,0.020000000000000018,0.01709401709401711
SPY251006P00669000,2025-10-03 20:14:56+00:00,669.0,1.51,1.51,1.54,-0.53,-25.98039,108783.0,3586,0.0587862677001953,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0003139341893217,0.030000000000000027,0.01986754966887419
SPY251006P00670000,2025-10-03 20:14:58+00:00,670.0,1.97,1.98,2.02,-0.48000002,-19.591837,132666.0,2741,0.0570162658691406,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9988209283173974,0.040000000000000036,0.0203045685279188
SPY251006P00671000,2025-10-03 20:14:51+00:00,671.0,2.58,2.57,2.64,-0.36000013,-12.244903,72637.0,2226,0.0567110931396484,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9973323725374906,0.07000000000000028,0.027131782945736545
SPY251006P00672000,2025-10-03 20:14:42+00:00,672.0,3.31,3.29,3.37,-0.23000002,-6.4971757,56159.0,303,0.0572604040527343,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9958482469831196,0.08000000000000007,0.024169184290030232
SPY251006P00673000,2025-10-03 20:14:30+00:00,673.0,4.25,4.12,4.23,0.0,0.0,26661.0,372,0.0609224768066406,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9943685319058784,0.11000000000000032,0.025882352941176547
SPY251006P00674000,2025-10-03 20:08:51+00:00,674.0,5.1,5.03,5.17,0.26999998,5.5900617,5282.0,60,0.0670259313964843,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.992893207674564,0.13999999999999968,0.027450980392156803
SPY251006P00675000,2025-10-03 20:13:51+00:00,675.0,6.25,6.03,6.17,0.3000002,5.0420203,3231.0,163,0.0760590441894531,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9914222547743056,0.13999999999999968,0.022399999999999948
SPY251006P00676000,2025-10-03 20:12:29+00:00,676.0,7.26,7.02,7.17,0.27000046,3.8626676,800.0,9,0.0848480187988281,True,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9899556538057044,0.15000000000000036,0.020661157024793438
SPY251007C00635000,2025-09-30 13:54:14+00:00,635.0,28.24,34.08,34.23,0.0,0.0,15.0,17,0.17188328125,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.05387405035064,0.14999999999999858,0.005311614730878137
SPY251007C00650000,2025-10-03 17:46:39+00:00,650.0,19.52,19.23,19.36,-0.75,-3.7000492,12.0,160,0.137703935546875,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.029553879957933,0.129999999999999,0.00665983606557372
SPY251007C00652000,2025-10-03 20:14:22+00:00,652.0,17.21,17.27,17.4,0.30999947,1.8343164,20.0,122,0.1313563427734375,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0263957392218654,0.129999999999999,0.0075537478210342245
SPY251007C00653000,2025-10-03 19:28:41+00:00,653.0,16.97,16.3,16.42,-0.3600006,-2.077326,18.0,103,0.1276942700195312,True,REGULAR,USD,call,2025-10-07,669.2100219726562,2025-10-07,3,0.0082191780821917,1.0248239233884475,0.120000000000001,0.007071302298173306
