contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness,bid_ask_spread,spread_pct,computed_iv,iv_diff,moneyness_bin,tte_bin
SPY251006C00667000,2025-10-03 20:14:52+00:00,667.0,2.89,2.89,2.94,-1.1099999,-27.749998,4346.0,1865,0.0572604040527343,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.003313376270849,0.0499999999999998,0.0173010380622836,0.07145341355807164,0.014193009505337341,"(0.95, 1.05]","(0, 30]"
SPY251006C00668000,2025-10-03 20:14:39+00:00,668.0,2.15,2.16,2.19,-1.1599998,-35.045315,13359.0,3428,0.0540255731201171,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.001811410138707,0.0299999999999998,0.0139534883720929,0.06919053407465499,0.015164960954537891,"(0.95, 1.05]","(0, 30]"
SPY251006C00669000,2025-10-03 20:14:59+00:00,669.0,1.51,1.51,1.53,-1.1200001,-42.585556,32998.0,3182,0.0509128112792968,True,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0003139341893217,0.02,0.0132450331125827,0.06701590814957877,0.016103096870281962,"(0.95, 1.05]","(0, 30]"
SPY251006C00670000,2025-10-03 20:14:59+00:00,670.0,0.98,0.98,1.0,-1.04,-51.48515,94852.0,4442,0.0485934985351562,False,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9988209283173974,0.02,0.0204081632653061,0.06452882009102906,0.015935321555872857,"(0.95, 1.05]","(0, 30]"
SPY251006C00671000,2025-10-03 20:14:56+00:00,671.0,0.61,0.6,0.61,-0.9,-59.60265,97030.0,3026,0.0470066003417968,False,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9973323725374906,0.01,0.0163934426229508,0.06395282680471767,0.01694622646292087,"(0.95, 1.05]","(0, 30]"
SPY251006C00672000,2025-10-03 20:14:57+00:00,672.0,0.33,0.33,0.34,-0.74,-69.158875,102695.0,3168,0.0456638403320312,False,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9958482469831196,0.01,0.0303030303030303,0.06177125019714721,0.01610740986511601,"(0.95, 1.05]","(0, 30]"
SPY251006C00673000,2025-10-03 20:14:59+00:00,673.0,0.18,0.17,0.18,-0.55,-75.34246,71351.0,2400,0.0451755639648437,False,REGULAR,USD,call,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,0.9943685319058784,0.0099999999999999,0.0555555555555554,0.062104069720885745,0.016928505756042045,"(0.95, 1.05]","(0, 30]"
SPY251006P00648000,2025-10-03 20:14:37+00:00,648.0,0.11,0.09,0.1,-0.09,-45.0,1531.0,764,0.1562584375,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0327315153899017,0.01,0.090909090909091,0.2259443545461445,0.06968591704614449,"(0.95, 1.05]","(0, 30]"
SPY251006P00649000,2025-10-03 20:14:11+00:00,649.0,0.11,0.1,0.11,-0.099999994,-47.619045,4967.0,674,0.1523522265625,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.0311402495726598,0.0099999999999999,0.0909090909090908,0.21690767778225545,0.06455545121975545,"(0.95, 1.05]","(0, 30]"
SPY251006P00650000,2025-10-03 20:14:53+00:00,650.0,0.12,0.11,0.12,-0.11000001,-47.82609,5947.0,3055,0.1482018774414062,False,REGULAR,USD,put,2025-10-06,669.2100219726562,2025-10-06,2,0.0054794520547945,1.029553879957933,0.0099999999999999,0.0833333333333333,0.210914888101797,0.06271301066039081,"(0.95, 1.05]","(0, 30]"
