contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiration,spot_price,expiration_date,days_to_expiration,T,moneyness
SPY251003C00599000,2025-10-03 17:42:39+00:00,599.0,71.2,68.49,71.3,2.209999,3.2033615,15.0,1,1.3422884448242183,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.1172120567156199
SPY251003C00600000,2025-10-03 20:10:19+00:00,600.0,69.01,67.49,70.3,-0.6500015,-0.93310577,23.0,115,1.3261752441406247,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.1153500366210938
SPY251003C00602000,2025-10-03 18:57:05+00:00,602.0,67.85,65.49,68.3,2.4700012,3.7779157,17.0,1,1.2939488427734374,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.1116445547718543
SPY251003C00604000,2025-10-03 14:02:47+00:00,604.0,65.58,63.49,66.3,11.75,21.827976,26.0,0,1.26172244140625,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.1079636125375103
SPY251003C00605000,2025-10-02 19:59:59+00:00,605.0,64.07,62.49,65.3,-0.40000153,-0.62044597,11.0,6,1.245609240722656,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.1061322677233987
SPY251003C00606000,2025-10-03 14:03:24+00:00,606.0,65.84,61.49,64.3,3.529995,5.6652145,29.0,1,1.2290077612304686,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.104306966951578
SPY251003C00608000,2025-09-24 15:43:33+00:00,608.0,55.43,59.49,62.3,0.0,0.0,1.0,1,1.1967813598632815,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.1006743782445003
SPY251003C00609000,2025-10-03 20:00:08+00:00,609.0,60.23,58.49,61.3,6.700001,12.516347,12.0,4,1.1806681591796875,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.098867031153787
SPY251003C00610000,2025-10-03 19:59:00+00:00,610.0,58.83,57.49,60.3,-0.7099991,-1.1924741,16.0,87,1.164554958496094,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0970656097912397
SPY251003C00611000,2025-09-30 17:16:37+00:00,611.0,59.45,56.49,59.3,7.290001,13.97623,5.0,824,1.147953479003906,True,REGULAR,USD,call,2025-10-03,669.2100219726562,2025-10-03,-1,-0.0027397260273972603,1.0952700850616306
